date;setor;codigo;acao;tipo;qtde_teorica;part_percent;part_acum_percent
28/03/2025;Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;462534972.0;0.062;0.754
28/03/2025;Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;850935197.0;0.415;0.415
28/03/2025;Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;194261422.0;0.169;0.169
28/03/2025;Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;136643320.0;0.16;1.027
28/03/2025;Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON  EJ  NM;1051120777.0;0.629;1.027
28/03/2025;Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;353448195.0;0.18;1.027
28/03/2025;Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;293689428.0;0.058;1.027
28/03/2025;Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;125446075.0;0.118;0.118
28/03/2025;Consumo Cíclico/Autos e Motos;AMOB3;AUTOMOB;ON      NM;533959816.0;0.006;0.006
28/03/2025;Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;273755006.0;0.31;0.403
28/03/2025;Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;377241484.0;0.093;0.403
28/03/2025;Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON  ATZ NM;525591097.0;0.056;0.056
28/03/2025;Diversos;COGN3;COGNA ON;ON  ATZ NM;1872454628.0;0.179;2.026
28/03/2025;Diversos;RENT3;LOCALIZA;ON  EJ  NM;965986531.0;1.571;2.026
28/03/2025;Diversos;VAMO3;VAMOS;ON      NM;485166826.0;0.117;2.026
28/03/2025;Diversos;YDUQ3;YDUQS PART;ON      NM;277677050.0;0.159;2.026
28/03/2025;Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON  EJ  NM;476976044.0;0.435;0.959
28/03/2025;Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211783588.0;0.187;0.959
28/03/2025;Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;314150156.0;0.337;0.959
28/03/2025;Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5857796242.0;2.665;2.665
28/03/2025;Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1484426957.0;0.812;18.245
